Établissement;Département de l’établissement;Région de l’établissement;Académie de l’établissement;Commune de l’établissement;Filière de formation;Capacité de l’établissement par formation;Effectif total des candidats pour une formation;Effectif total des candidats ayant reçu une proposition d’admission de la part de l’établissement;Effectif total des candidats ayant accepté la proposition de l’établissement (admis);Taux d’accès
Lycée Polyvalent Gabriel Touchard - Washington;Sarthe;Pays-de-la-Loire;Nantes;Le Mans;BTS - Services - Gestion de la PME;24;534;140;24;37.0
Lycée polyvalent Raphaël Elizé;Sarthe;Pays-de-la-Loire;Nantes;Sablé-sur-Sarthe;BTS - Production - Maintenance des systèmes - option A Systèmes de production;7;55;27;5;71.0
Lycée polyvalent Raphaël Elizé;Sarthe;Pays-de-la-Loire;Nantes;Sablé-sur-Sarthe;BTS - Services - Conseil et commercialisation de solutions techniques;20;92;64;13;86.0
I.U.T. Le Mans;Sarthe;Pays-de-la-Loire;Nantes;Le Mans;BUT - Génie mécanique et productique;91;1724;714;91;59.0
Lycée Ste Catherine;Sarthe;Pays-de-la-Loire;Nantes;Le Mans;Mise à niveau - Hôtellerie restauration;24;155;92;17;89.0
Lycée Notre-Dame;Sarthe;Pays-de-la-Loire;Nantes;Le Mans;BTS - Production - Bioanalyses et contrôles;26;273;91;24;68.0
Le Mans Université;Sarthe;Pays-de-la-Loire;Nantes;Le Mans;Licence - Sciences et Techniques des Activités Physiques et Sportives - Parcours HORS parcours Masso-Kinésithérapie;315;1742;742;300;46.0
Le Mans Université;Sarthe;Pays-de-la-Loire;Nantes;Le Mans;Licence - Informatique;50;506;227;48;48.0
Lycée Polyvalent Le Mans Sud;Sarthe;Pays-de-la-Loire;Nantes;Le Mans;BTS - Services - Assurance;35;409;160;29;44.0
Lycée agricole Les Horizons;Sarthe;Pays-de-la-Loire;Nantes;Saint-Saturnin;BTS - Agricole - Développement, animation des territoires ruraux;24;65;54;6;96.0
Lycée Marlioz;Savoie;Auvergne-Rhône-Alpes;Grenoble;Aix-les-Bains;BTS - Services - Collaborateur juriste notarial;24;385;120;22;45.0
Lycée Vaugelas;Savoie;Auvergne-Rhône-Alpes;Grenoble;Chambéry;CPGE - PCSI;45;1150;603;43;76.0
Lycée Paul Heroult;Savoie;Auvergne-Rhône-Alpes;Grenoble;Saint-Jean-de-Maurienne;BTS - Production - Maintenance des systèmes - option A Systèmes de production;15;62;35;12;83.0
Lycée agricole De La Motte Servolex;Savoie;Auvergne-Rhône-Alpes;Grenoble;La Motte-Servolex;BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole;18;138;49;10;66.0
Université Savoie Mont Blanc - Chambéry;Savoie;Auvergne-Rhône-Alpes;Grenoble;Jacob-Bellecombette;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours LLCER Italien;45;88;79;12;100.0
Université Savoie Mont Blanc - Chambéry;Savoie;Auvergne-Rhône-Alpes;Grenoble;Jacob-Bellecombette;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours LLCER Espagnol;55;128;121;11;100.0
Université Savoie Mont Blanc - Chambéry;Savoie;Auvergne-Rhône-Alpes;Grenoble;Jacob-Bellecombette;Licence - Langues étrangères appliquées - Parcours LEA Anglais/Allemand;30;126;105;17;99.0
Université Savoie Mont Blanc - Chambéry;Savoie;Auvergne-Rhône-Alpes;Grenoble;Jacob-Bellecombette;Licence - Droit;265;1845;1192;263;76.0
Université Savoie Mont Blanc - Bourget-du-Lac;Savoie;Auvergne-Rhône-Alpes;Grenoble;Le Bourget-du-Lac;Licence - Portail Sciences de la vie;130;1589;886;125;71.0
Lycée du Granier;Savoie;Auvergne-Rhône-Alpes;Grenoble;La Ravoire;BTS - Services - Comptabilité et gestion;36;536;198;31;69.0
IUT de CHAMBERY;Savoie;Auvergne-Rhône-Alpes;Grenoble;Le Bourget-du-Lac;BUT - Métiers du multimédia et de l'internet;52;1077;181;57;22.0
IUT de CHAMBERY;Savoie;Auvergne-Rhône-Alpes;Grenoble;Le Bourget-du-Lac;BUT - Gestion administrative et commerciale des organisations;60;1611;172;64;15.0
Lycée Berthollet;Haute-Savoie;Auvergne-Rhône-Alpes;Grenoble;Annecy;CPGE - PCSI;96;1665;922;89;61.0
Lycée Gabriel Fauré;Haute-Savoie;Auvergne-Rhône-Alpes;Grenoble;Annecy;BTS - Services - Comptabilité et gestion;34;493;191;28;52.0
Lycée Gabriel Fauré;Haute-Savoie;Auvergne-Rhône-Alpes;Grenoble;Annecy;BTS - Services - Services informatiques aux organisations;24;386;127;22;49.0
Lycée Louis Lachenal;Haute-Savoie;Auvergne-Rhône-Alpes;Grenoble;Argonay;BTS - Production - Bâtiment;30;445;152;24;55.0
Lycée Louis Lachenal;Haute-Savoie;Auvergne-Rhône-Alpes;Grenoble;Argonay;BTS - Production - Développement et Réalisation Bois;15;181;83;7;68.0
Lycée Mont Blanc;Haute-Savoie;Auvergne-Rhône-Alpes;Grenoble;Passy;BTS - Services - Conseil et commercialisation de solutions techniques;24;123;89;19;93.0
Lycée La Versoie;Haute-Savoie;Auvergne-Rhône-Alpes;Grenoble;Thonon-les-Bains;BTS - Services - Négociation et digitalisation de la Relation Client;34;297;139;22;49.0
LYCEE HÔTELIER SAVOIE LEMAN;Haute-Savoie;Auvergne-Rhône-Alpes;Grenoble;Thonon-les-Bains;Mise à niveau - Hôtellerie restauration;34;251;120;35;79.0
Lycée Sainte Famille;Haute-Savoie;Auvergne-Rhône-Alpes;Grenoble;La Roche-sur-Foron;BTS - Services - Comptabilité et gestion;28;123;73;20;64.0
Lycée Sainte Famille;Haute-Savoie;Auvergne-Rhône-Alpes;Grenoble;La Roche-sur-Foron;Diplôme de Comptabilité et de Gestion;28;239;75;15;73.0
ISETA de Poisy;Haute-Savoie;Auvergne-Rhône-Alpes;Grenoble;Poisy;BTS - Agricole - Gestion forestière;35;248;115;30;67.0
Lycée Les Bressis;Haute-Savoie;Auvergne-Rhône-Alpes;Grenoble;Annecy;BTS - Services - Gestion de la PME;15;232;63;7;38.0
Lycée Les Bressis;Haute-Savoie;Auvergne-Rhône-Alpes;Grenoble;Annecy;BTS - Services - Comptabilité et gestion;15;189;90;11;69.0
I.U.T. Annecy;Haute-Savoie;Auvergne-Rhône-Alpes;Grenoble;Annecy;BUT - Génie mécanique et productique;104;1803;508;103;53.0
I.U.T. Annecy;Haute-Savoie;Auvergne-Rhône-Alpes;Grenoble;Annecy;BUT - Informatique;105;2162;722;100;48.0
I.U.T. Annecy;Haute-Savoie;Auvergne-Rhône-Alpes;Grenoble;Annecy;BUT - Réseaux et télécommunications;60;844;365;59;51.0
Lycée Charles Baudelaire;Haute-Savoie;Auvergne-Rhône-Alpes;Grenoble;Annecy;BTS - Services - Management Commercial Opérationnel;34;824;256;24;37.0
Lycée Charlemagne;Paris;Ile-de-France;Paris;Paris  4e  Arrondissement;CPGE - PCSI;48;3489;732;48;24.0
Lycée Saint-Louis (6ème);Paris;Ile-de-France;Paris;Paris  6e  Arrondissement;CPGE - MPSI;192;8849;972;192;13.0
Lycée Chaptal;Paris;Ile-de-France;Paris;Paris  8e  Arrondissement;CPGE - Lettres;48;1735;544;55;46.0
Lycée RACINE;Paris;Ile-de-France;Paris;Paris  8e  Arrondissement;BTS - Services - Support à l'action managériale;24;1120;131;28;18.0
Lycée Condorcet;Paris;Ile-de-France;Paris;Paris  9e  Arrondissement;CPGE - MPSI;96;5480;1023;91;23.0
Esaa Duperré;Paris;Ile-de-France;Paris;Paris  3e  Arrondissement;CPGE - Ecole normale supérieure Paris Saclay – arts et design;24;760;63;23;11.0
Lycée Jules SIEGFRIED;Paris;Ile-de-France;Paris;Paris 10e  Arrondissement;BTS - Services - Banque;35;1855;166;34;14.0
Lycée Voltaire;Paris;Ile-de-France;Paris;Paris 11e  Arrondissement;CPGE - PTSI;45;1454;605;43;48.0
Lycée des Métiers Dorian;Paris;Ile-de-France;Paris;Paris 11e  Arrondissement;BTS - Production - Conception des processus de réalisation de produits (1ère année commune);15;413;97;10;34.0
Lycée Elisa Lemonnier;Paris;Ile-de-France;Paris;Paris 12e  Arrondissement;BTS - Services - Conseil et commercialisation de solutions techniques;35;710;156;29;22.0
Lycée Elisa Lemonnier;Paris;Ile-de-France;Paris;Paris 12e  Arrondissement;BTS - Services - Négociation et digitalisation de la Relation Client;35;2757;163;36;6.0
Lycée Pierre-Gilles de Gennes - ENCPB;Paris;Ile-de-France;Paris;Paris 13e  Arrondissement;CPGE - TB;30;273;132;32;70.0
Lycée Pierre-Gilles de Gennes - ENCPB;Paris;Ile-de-France;Paris;Paris 13e  Arrondissement;BTS - Services - Analyses de biologie médicale;60;2670;538;59;27.0
Lycée Claude Bernard;Paris;Ile-de-France;Paris;Paris 16e  Arrondissement;CPGE - PCSI;48;1670;571;45;37.0
Lycée Jean-Baptiste Say;Paris;Ile-de-France;Paris;Paris 16e  Arrondissement;CPGE - PTSI;45;1698;152;45;11.0
Lycée Moliere;Paris;Ile-de-France;Paris;Paris 16e  Arrondissement;CPGE - Lettres;96;2119;829;89;74.0
Lycée Honoré De Balzac;Paris;Ile-de-France;Paris;Paris 17e  Arrondissement;BTS - Services - Comptabilité et gestion;24;1219;171;22;23.0
Ecole Nationale De Commerce;Paris;Ile-de-France;Paris;Paris 17e  Arrondissement;BTS - Services - Négociation et digitalisation de la Relation Client;70;4996;267;70;7.0
Ecole Nationale De Commerce;Paris;Ile-de-France;Paris;Paris 17e  Arrondissement;BTS - Services - Communication;70;4087;329;76;10.0
Ecole Nationale De Commerce;Paris;Ile-de-France;Paris;Paris 17e  Arrondissement;BTS - Services - Services informatiques aux organisations;32;1693;74;32;5.0
Lycée Henri Bergson-Jacquard;Paris;Ile-de-France;Paris;Paris 19e  Arrondissement;BTS - Production - Maintenance des systèmes - option A Systèmes de production;24;487;117;23;36.0
Lycée Henri Bergson-Jacquard;Paris;Ile-de-France;Paris;Paris 19e  Arrondissement;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;24;1017;134;26;22.0
Lycée Maurice Ravel;Paris;Ile-de-France;Paris;Paris 20e  Arrondissement;BTS - Services - Commerce International;35;3231;232;37;13.0
Lycée Louis Armand;Paris;Ile-de-France;Paris;Paris 15e  Arrondissement;BTS - Services - Services informatiques aux organisations;48;2186;260;50;17.0
Université Paris 1 Panthéon Sorbonne;Paris;Ile-de-France;Paris;Paris  5e  Arrondissement;Licence - Administration économique et sociale - Parcours AES - Ressources humaines;379;8642;1577;377;25.0
Université Paris 1 Panthéon Sorbonne;Paris;Ile-de-France;Paris;Paris  5e  Arrondissement;Double licence - Droit / Histoire de l'art et archéologie - Droit - Histoire de l'art et archéologie;60;1319;173;60;16.0
Université Paris 1 Panthéon Sorbonne;Paris;Ile-de-France;Paris;Paris  5e  Arrondissement;Licence - Droit - Parcours Droits français et allemand;30;228;59;30;28.0
Université Paris 1 Panthéon Sorbonne;Paris;Ile-de-France;Paris;Paris  5e  Arrondissement;Double licence - Histoire / Science politique - Histoire - Science Politique;100;5680;429;100;10.0
Université Paris 1 Panthéon Sorbonne;Paris;Ile-de-France;Paris;Paris  5e  Arrondissement;Licence - Histoire;630;2633;1962;632;86.0
Université Paris 1 Panthéon Sorbonne;Paris;Ile-de-France;Paris;Paris  5e  Arrondissement;Licence - Mathématiques et informatique appliquées aux sciences humaines et sociales - Parcours MIASHS;187;3267;1132;176;38.0
Université Sorbonne Nouvelle Paris 3;Paris;Ile-de-France;Paris;Paris 12e  Arrondissement;Licence - Etudes théâtrales - Parcours Théâtre - Mineure Cinéma et Audiovisuel;30;1283;119;30;13.0
Université Sorbonne Nouvelle Paris 3;Paris;Ile-de-France;Paris;Paris 12e  Arrondissement;Licence - Lettres - Parcours Lettres - Mineure Information-Communication;54;735;291;54;50.0
Université Sorbonne Nouvelle Paris 3;Paris;Ile-de-France;Paris;Paris 12e  Arrondissement;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Arabe;20;201;86;18;56.0
Sorbonne université;Paris;Ile-de-France;Paris;Paris  6e  Arrondissement;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours LLCER : LANGUE LITTERATURE ET CIVILISATION D'EUROPE CENTRALE (Allemand, BCMS, Hongrois, Polonais, Russe, Tchèque);40;201;167;40;98.0
Sorbonne université;Paris;Ile-de-France;Paris;Paris  6e  Arrondissement;Licence - Musicologie - Parcours MUSIQUE ET MUSICOLOGIE;230;760;320;125;48.0
Sorbonne université;Paris;Ile-de-France;Paris;Paris  6e  Arrondissement;Licence - Portail Lettres - LETTRES EDITION MEDIAS AUDIOVISUEL;335;1565;1027;333;71.0
Sorbonne université;Paris;Ile-de-France;Paris;Paris  6e  Arrondissement;Licence - Lettres, langues - Parcours PLURIDISCIPLINAIRE BILINGUE ANGLAIS, LETTRES, SCIENCES HUMAINES;30;606;141;30;40.0
Sorbonne université;Paris;Ile-de-France;Paris;Paris  6e  Arrondissement;Double licence - Lettres / Langues, littératures et civilisations étrangères et régionales - LETTRES MODERNES - LLCER ANGLAIS;15;525;84;15;28.0
Sorbonne université;Paris;Ile-de-France;Paris;Paris  6e  Arrondissement;Licence - Géographie et aménagement;195;954;743;192;91.0
Sorbonne université;Paris;Ile-de-France;Paris;Paris  6e  Arrondissement;Double licence - Philosophie / Sociologie - PHILOSOPHIE - SOCIOLOGIE;30;573;176;30;53.0
Université Paris Cité;Paris;Ile-de-France;Paris;Paris  6e  Arrondissement;Licence - Portail Mathématiques - Portail Mathématiques et applications - Informatique et applications - Campus Saint-Germain-des-Prés;200;5390;1154;200;29.0
Université Paris Cité;Paris;Ile-de-France;Paris;Paris  6e  Arrondissement;Licence - Portail Droit;527;10825;2584;565;28.0
Université Paris Cité;Paris;Ile-de-France;Paris;Paris  6e  Arrondissement;Licence - Portail Langues, littératures et civilisations étrangères et régionales - LLCER Anglais;200;2506;929;197;46.0
Université Paris Cité;Paris;Ile-de-France;Paris;Paris  6e  Arrondissement;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours LLCER Etudes Japonaises;120;1191;489;119;58.0
Université Paris Cité;Paris;Ile-de-France;Paris;Paris  6e  Arrondissement;Licence - Portail Langues, littératures et civilisations étrangères et régionales - LLCER Etudes vietnamiennes;37;180;171;39;100.0
Université Paris Cité;Paris;Ile-de-France;Paris;Paris  6e  Arrondissement;Licence - Langues étrangères appliquées - Parcours LEA Anglais Japonais;30;961;122;30;17.0
Université Paris Cité;Paris;Ile-de-France;Paris;Paris  6e  Arrondissement;Licence - Arts du spectacle - Parcours Etudes cinématographiques;77;1942;403;86;24.0
Université Paris Cité;Paris;Ile-de-France;Paris;Paris  6e  Arrondissement;Licence - Portail Mathématiques - Mathématiques fondamentales et appliquées  - Campus Grands-Moulins;63;4385;1466;63;36.0
Université Paris Cité;Paris;Ile-de-France;Paris;Paris  6e  Arrondissement;Licence - Portail Chimie;64;3390;901;72;27.0
Institut Supérieur Clorivière;Paris;Ile-de-France;Paris;Paris 12e  Arrondissement;BTS - Services - Tourisme;74;636;254;63;50.0
Lycée Jean Lurcat;Paris;Ile-de-France;Paris;Paris 13e  Arrondissement;BTS - Services - Gestion des transports et logistique associée;35;1072;200;35;23.0
INALCO;Paris;Ile-de-France;Paris;Paris;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Afrique et océan Indien - Yoruba;15;59;55;12;95.0
INALCO;Paris;Ile-de-France;Paris;Paris;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Asie de l’Est - Chinois;150;511;427;133;100.0
INALCO;Paris;Ile-de-France;Paris;Paris;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Afrique et océan Indien - Mandingue (Bambara);30;100;81;28;100.0
INALCO;Paris;Ile-de-France;Paris;Paris;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Europe - Ukrainien;25;68;56;19;100.0
INALCO;Paris;Ile-de-France;Paris;Paris;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Europe - Lituanien;10;9;3;0;100.0
INALCO;Paris;Ile-de-France;Paris;Paris;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Eurasie - Kurde;25;59;56;15;96.0
INALCO;Paris;Ile-de-France;Paris;Paris;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Asie de l’Est - Coréen;140;1469;424;139;36.0
INALCO;Paris;Ile-de-France;Paris;Paris;Licence - Portail Langues, littératures et civilisations étrangères et régionales - Parcours Europe - Albanais;10;43;31;7;90.0
INALCO;Paris;Ile-de-France;Paris;Paris;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Europe - Hongrois;15;55;31;7;100.0
Lycée Stanislas;Paris;Ile-de-France;Paris;Paris  6e  Arrondissement;CPGE - PCSI;141;2610;478;140;23.0
Lycée Stanislas;Paris;Ile-de-France;Paris;Paris  6e  Arrondissement;CPGE - B/L - Lettres et sciences sociales;39;1270;239;29;30.0
Lycée L'Initiative;Paris;Ile-de-France;Paris;Paris 19e  Arrondissement;BTS - Services - Comptabilité et gestion;25;551;134;26;40.0
Lycée Saint-Nicolas;Paris;Ile-de-France;Paris;Paris  6e  Arrondissement;BTS - Production - Conception et Réalisation de Systèmes Automatiques;30;258;125;19;60.0
Lycée Albert de Mun;Paris;Ile-de-France;Paris;Paris  7e  Arrondissement;BTS - Services - Comptabilité et gestion;35;454;217;30;64.0
Lycée Albert de Mun;Paris;Ile-de-France;Paris;Paris  7e  Arrondissement;Diplôme de Comptabilité et de Gestion;35;853;394;32;59.0
Lycée Le Rebours;Paris;Ile-de-France;Paris;Paris 13e  Arrondissement;BTS - Services - Négociation et digitalisation de la Relation Client;36;629;273;33;42.0
Lycée Le Rebours;Paris;Ile-de-France;Paris;Paris 13e  Arrondissement;BTS - Services - Comptabilité et gestion;36;403;212;24;56.0
Lycée Charles De Foucauld;Paris;Ile-de-France;Paris;Paris 18e  Arrondissement;BTS - Services - Négociation et digitalisation de la Relation Client;35;730;268;35;43.0
LP PRIVE NOTRE-DAME;Paris;Ile-de-France;Paris;Paris 13e  Arrondissement;BTS - Services - Service et prestation des secteurs sanitaire et social;40;282;199;24;88.0
IUT de Paris - Rives de Seine - Université Paris Cité;Paris;Ile-de-France;Paris;Paris 16e  Arrondissement;BUT - Science des données;92;1975;379;90;26.0
IUT de Paris - Rives de Seine - Université Paris Cité;Paris;Ile-de-France;Paris;Paris 16e  Arrondissement;BUT - Information communication Parcours communication des organisations;56;1475;141;55;11.0
Lycée Thomas Corneille;Seine-Maritime;Normandie;Normandie;Barentin;BTS - Services - Gestion de la PME;24;315;148;20;73.0
Lycée Andre Maurois;Seine-Maritime;Normandie;Normandie;Elbeuf;BTS - Services - Management Commercial Opérationnel;35;590;193;23;45.0
Lycée Guy De Maupassant;Seine-Maritime;Normandie;Normandie;Fécamp;BTS - Production - Maintenance des systèmes - option A Systèmes de production;14;64;31;12;51.0
Lycée François 1er;Seine-Maritime;Normandie;Normandie;Le Havre;CPGE - MPSI;48;1145;349;47;62.0
Lycée Porte-Océane;Seine-Maritime;Normandie;Normandie;Le Havre;BTS - Services - Comptabilité et gestion;15;193;77;14;68.0
Lycée Schuman Perret;Seine-Maritime;Normandie;Normandie;Le Havre;BTS - Production - Conception et Réalisation de Systèmes Automatiques;30;196;126;22;92.0
Lycée Pierre Corneille;Seine-Maritime;Normandie;Normandie;Rouen;CPGE - BCPST;48;1162;327;47;39.0
Lycée Jeanne D'Arc;Seine-Maritime;Normandie;Normandie;Rouen;BTS - Services - Communication;35;902;102;34;11.0
Lycée Gustave Flaubert;Seine-Maritime;Normandie;Normandie;Rouen;BTS - Services - Commerce International;35;1345;174;34;20.0
Lycée Gustave Flaubert;Seine-Maritime;Normandie;Normandie;Rouen;BTS - Services - Economie sociale familiale;35;663;153;27;32.0
Lycée Marcel Sembat;Seine-Maritime;Normandie;Normandie;Sotteville-lès-Rouen;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;15;381;79;14;39.0
I.U.T de Rouen;Seine-Maritime;Normandie;Normandie;Mont-Saint-Aignan;BUT - Génie chimique génie des procédés;56;771;584;46;87.0
Lycée Claude Monet;Seine-Maritime;Normandie;Normandie;Le Havre;CPGE - B/L - Lettres et sciences sociales;24;2153;175;31;92.0
Lycée Claude Monet;Seine-Maritime;Normandie;Normandie;Le Havre;BTS - Services - Support à l'action managériale;24;247;111;15;59.0
Lycée agricole d'Yvetot;Seine-Maritime;Normandie;Normandie;Yvetot;BTS - Agricole - Analyses biologiques, biotechnologiques, agricoles et environnementales;15;214;60;15;55.0
Lycée Les Tourelles;Seine-Maritime;Normandie;Normandie;Rouen;BTS - Services - Gestion de la PME;35;256;174;25;97.0
Lycée Les Tourelles;Seine-Maritime;Normandie;Normandie;Rouen;BTS - Services - Comptabilité et gestion;35;236;154;34;74.0
Lycée La Chataigneraie;Seine-Maritime;Normandie;Normandie;Le Mesnil-Esnard;BTS - Production - Fluide, énergie, domotique - option B froid et conditionnement d'air;15;71;52;9;90.0
Lycée La Chataigneraie;Seine-Maritime;Normandie;Normandie;Le Mesnil-Esnard;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;17;141;66;15;71.0
Lycée polyvalent privé Saint Vincent de Paul;Seine-Maritime;Normandie;Normandie;Le Havre;BTS - Services - Photographie;18;243;84;16;50.0
